0.978333
263.563 119.5 148.375
362.594 171.875 164.031
511.281 257.75 197.344
669.563 359.813 238.469
862.469 500.438 307.906
0.999939
400.719 81.4688 101.563
556.875 89.375 144.438
758 81.4063 201.031
999 43.4063 265.313
0 0 0
0.996826
247.906 150.125 117.531
335.625 218.656 117.281
449.938 323.313 135.281
586.188 476.25 155.906
729.344 688.5 183.219
0.841675
276.406 77.1563 -17.1563
380.063 100.219 6.59375
546.438 131.406 33.3438
752.563 160.094 77.6563
981.531 179.406 101.625
0.989014
265.781 108.781 -14.6563
375.594 140.969 30.5938
545.25 177.406 84.6875
733.031 199.375 144.844
976.719 200.125 221.969
0.968262
263.219 121.219 57.375
373 164.531 79.0625
519.125 215.469 101.188
707.625 271.844 130.656
950.531 328.625 168.875
0.999817
352.375 170.375 22.9375
494.563 250.156 37.375
669.719 359.313 56.625
860.75 493.188 77.25
0 0 0
0.995483
273.844 104.719 -64.0938
375.906 138.094 -38.875
525.281 182.281 -7.1875
730.625 233.156 36.5625
956.375 277.188 84.4688
0.978882
260.094 136.313 108.281
349.094 179.813 134.188
511.625 255.938 178.5
687.063 333.75 223.813
906.781 424.688 281.438
0.980713
275.281 89.2813 78.5938
377.406 124.25 102.219
526.25 177.031 147.344
729.188 253.188 195.031
949.219 340.063 266.875
0.955994
261.375 130 -51.25
351.313 173.406 -43.7813
512.844 249.375 -20.5625
684.031 327.594 -3.5
902.563 424.094 19.8438
0.987854
377 128 158.438
545.344 173.156 208.188
731.906 215.063 262
975.219 257.531 332.656
0 0 0
